age_personne,revenu_annuel,anciennete_emploi,montant_pret,taux_interet,statut_defaut,pret_pourcentage_revenu,anciennete_credit,revenu_annuel_log,montant_pret_log,note_pret_encodee,historique_defaut_encode,logement_OTHER,logement_OWN,logement_RENT,motif_EDUCATION,motif_HOMEIMPROVEMENT,motif_MEDICAL,motif_PERSONAL,motif_VENTURE
22.0,65000,-0.18356058799629554,34000,2.041446061232556,1,3.274497298355033,-0.44624569742716774,0.32563595920471894,2.097846049048457,1.5244835517227195,0,0,0,1,1,0,0,0,0
24.0,10980,-1.2590293911209467,1500,-1.1608387299343572,0,-0.2832111630272084,-0.6926137554668351,-3.039728502717828,-2.2897615942179588,-1.0456047992572928,0,0,1,0,0,0,0,1,0
22.0,80000,-0.4524277887774583,33950,1.0953871919276565,1,2.3382582295702323,-0.44624569742716774,0.7185941342747901,2.0957766937641495,1.5244835517227195,1,0,0,1,0,0,0,1,0
24.0,67746,0.8919082151283555,33000,0.5165485416292642,1,2.993625577719593,-0.6926137554668351,0.4039441460995151,2.0558690193307125,0.6677874347293821,0,0,0,1,0,1,0,0,0
21.0,11000,-0.4524277887774583,4575,2.091238633301235,1,2.3382582295702323,-0.6926137554668351,-3.036284721305337,-0.7223149268331589,2.381179668716057,1,0,0,0,0,0,0,0,1
23.0,11000,-1.2590293911209467,1400,-0.5290954718129932,0,-0.3768350699056885,-0.6926137554668351,-3.036284721305337,-2.3867102515321226,-1.0456047992572928,0,0,1,0,0,0,0,1,0
24.0,65000,0.35417381356603,32500,-0.32058907627540023,1,3.0872494845980727,-0.6926137554668351,0.32563595920471894,2.034401043367338,-0.18890868226395535,0,0,0,1,0,1,0,0,0
21.0,11389,0.08530661278486722,4000,0.5663411136979432,1,1.682890881420872,-0.9389818135065024,-2.9705200769139615,-0.9111364720389034,0.6677874347293821,1,1,0,0,1,0,0,0,0
21.0,11520,0.08530661278486722,2000,0.03107096395964442,1,-0.0023394423917683085,-0.6926137554668351,-2.948877715318063,-1.8854664803725378,-0.18890868226395535,0,0,1,0,0,0,1,0,0
25.0,120000,-0.721294989558621,32000,-1.3693451254719504,0,0.933899626393032,-0.9389818135065024,1.4859409486316317,2.0126002276558497,-1.0456047992572928,0,0,0,1,0,0,0,0,1
26.0,95000,0.6230410143471927,31050,0.9802418690188368,1,1.4956430676639123,-0.6926137554668351,1.0438220889904546,1.970223752813495,0.6677874347293821,1,0,0,1,0,1,0,0,0
25.0,140232,-0.721294989558621,24250,0.8806567248814788,0,-0.8449546042980887,-0.6926137554668351,1.780806986604271,1.6226567521784057,0.6677874347293821,0,0,0,1,0,0,0,0,0
26.0,140232,1.429642616690681,7800,0.7686234377269514,0,-1.313074138690489,-0.44624569742716774,1.780806986604271,0.02777262219423147,0.6677874347293821,0,0,0,0,0,0,1,0,0
21.0,12000,0.08530661278486722,2500,-1.0923739433399238,1,0.37215618512215165,-0.44624569742716774,-2.8716274549993273,-1.5718297017264649,-1.0456047992572928,0,0,1,0,1,0,0,0,0
22.0,48000,-0.9901621903397838,30000,2.293520957330244,1,4.304360274018313,-0.9389818135065024,-0.24814268432716644,1.9218511507236298,2.381179668716057,0,0,0,1,1,0,0,0,0
24.0,64000,0.8919082151283555,30000,1.0953871919276565,1,2.806377763962632,-0.6926137554668351,0.2962942829177535,1.9218511507236298,1.5244835517227195,1,0,0,1,0,0,0,0,0
25.0,75000,-0.18356058799629554,30000,1.8267155941863789,1,2.1510104158132726,-0.44624569742716774,0.5964546528011063,1.9218511507236298,1.5244835517227195,1,0,0,1,0,1,0,0,0
23.0,71500,-0.4524277887774583,30000,1.3350139450081744,1,2.3382582295702323,-0.44624569742716774,0.5060106443327638,1.9218511507236298,1.5244835517227195,0,0,0,1,0,0,0,0,0
26.0,62050,0.35417381356603,30000,2.169039527158546,1,2.244634322691752,-0.9389818135065024,0.23773548079618356,1.9218511507236298,2.381179668716057,0,0,0,1,0,0,1,0,0
24.0,12000,-0.18356058799629554,2500,0.5196605773835565,1,0.37215618512215165,-0.6926137554668351,-2.8716274549993273,-1.5718297017264649,-0.18890868226395535,0,0,1,0,0,0,0,0,1
26.0,140232,1.429642616690681,20000,-0.9772286204311038,0,-0.9385785111765687,-0.44624569742716774,1.780806986604271,1.3517225058688216,-1.0456047992572928,0,0,0,0,0,0,0,0,1
23.0,140232,-0.9901621903397838,24250,2.610948604268072,0,-0.8449546042980887,-0.9389818135065024,1.780806986604271,1.6226567521784057,3.2378757857093943,1,0,1,0,1,0,0,0,0
26.0,140232,1.1607754159095183,10000,-0.19921968185799516,0,-1.313074138690489,-0.44624569742716774,1.780806986604271,0.377111390429673,-0.18890868226395535,0,0,1,0,0,1,0,0,0
26.0,140232,-1.2590293911209467,25000,1.3412380165167592,0,-0.8449546042980887,-0.6926137554668351,1.780806986604271,1.6654857770230687,1.5244835517227195,0,0,0,0,1,0,0,0,0
25.0,140232,1.1607754159095183,18000,1.6897860209975115,0,-1.0322024180550489,-0.6926137554668351,1.780806986604271,1.2035757267553766,2.381179668716057,0,0,0,0,0,1,0,0,0
26.0,80690,0.8919082151283555,30000,-1.0985980148485086,1,1.8701386951778323,-0.6926137554668351,0.7348470083111356,1.9218511507236298,-1.0456047992572928,0,0,0,1,0,0,0,1,0
22.0,66300,-0.18356058799629554,30000,0.5196605773835565,1,1.9637626020563124,-0.6926137554668351,0.36311244570013507,1.9218511507236298,-0.18890868226395535,0,0,0,1,0,0,1,0,0
26.0,89028,-1.2590293911209467,30000,-1.3693451254719504,1,1.5892669745423924,-0.6926137554668351,0.9209491185275921,1.9218511507236298,-1.0456047992572928,0,0,0,1,0,0,0,0,0
24.0,78000,-0.18356058799629554,30000,1.3350139450081744,1,1.9637626020563124,-0.44624569742716774,0.6706800410190555,1.9218511507236298,1.5244835517227195,1,0,0,1,0,0,0,0,0
23.0,78000,0.6230410143471927,30000,2.36509777967897,1,1.9637626020563124,-0.6926137554668351,0.6706800410190555,1.9218511507236298,3.2378757857093943,1,0,0,1,0,0,0,0,0
23.0,92004,0.35417381356603,30000,1.310117658973835,1,1.4956430676639123,-0.6926137554668351,0.9831769362083086,1.9218511507236298,0.6677874347293821,1,0,0,1,0,0,0,1,0
23.0,97000,0.6230410143471927,30000,-0.1151947164920996,1,1.308395253906952,-0.9389818135065024,1.0832508034188508,1.9218511507236298,-0.18890868226395535,0,0,0,1,0,0,0,0,1
25.0,120000,1.1607754159095183,30000,-0.9710045489225188,0,0.7466518126360718,-0.44624569742716774,1.4859409486316317,1.9218511507236298,-1.0456047992572928,0,0,0,1,1,0,0,0,0
26.0,140232,-0.18356058799629554,10000,1.5372962690371827,0,-1.2194502318120088,-0.6926137554668351,1.780806986604271,0.377111390429673,0.6677874347293821,1,0,0,1,0,0,0,1,0
26.0,140232,-1.2590293911209467,20000,0.1431042511141724,0,-0.9385785111765687,-0.6926137554668351,1.780806986604271,1.3517225058688216,-0.18890868226395535,0,0,0,1,0,0,0,0,1
23.0,140232,-0.4524277887774583,35000,-1.0985980148485086,0,-0.3768350699056885,-0.44624569742716774,1.780806986604271,2.1386062155997307,-1.0456047992572928,0,0,1,0,0,0,0,1,0
25.0,128000,1.1607754159095183,30000,-1.1608387299343572,0,0.5594039988791119,-0.44624569742716774,1.6080810215083876,1.9218511507236298,-1.0456047992572928,0,0,0,1,0,0,0,1,0
24.0,12000,-0.721294989558621,1750,1.8049313439063317,0,-0.18958725614872854,-0.6926137554668351,-2.8716274549993273,-2.073133671425413,2.381179668716057,1,0,1,0,0,0,0,0,1
21.0,131000,-1.2590293911209467,30000,-1.5654033779923735,0,0.5594039988791119,-0.44624569742716774,1.651925027261298,1.9218511507236298,-1.0456047992572928,0,0,0,1,0,0,0,0,1
22.0,140232,0.35417381356603,12000,0.17422460865709663,0,-1.2194502318120088,-0.9389818135065024,1.780806986604271,0.6334627042541408,-0.18890868226395535,0,0,1,0,0,0,0,0,1
26.0,140232,-1.2590293911209467,10000,-0.009385500846156906,1,-1.2194502318120088,-0.44624569742716774,1.780806986604271,0.377111390429673,-0.18890868226395535,0,0,0,0,1,0,0,0,0
25.0,140232,1.1607754159095183,25000,1.456383339425579,1,-0.6577067905411286,-0.9389818135065024,1.780806986604271,1.6654857770230687,1.5244835517227195,0,0,0,0,0,0,1,0,0
22.0,70000,0.35417381356603,29100,1.5466323763000598,1,2.3382582295702323,-0.6926137554668351,0.4658854069483169,1.8790218359689999,1.5244835517227195,0,0,0,1,1,0,0,0,0
22.0,12000,0.6230410143471927,1500,1.1887482645564298,0,-0.3768350699056885,-0.6926137554668351,-2.8716274549993273,-2.2897615942179588,1.5244835517227195,1,0,0,0,1,0,0,0,0
26.0,140232,1.429642616690681,28000,-0.009385500846156906,0,-0.5640828836626486,-0.6926137554668351,1.780806986604271,1.8248389271323988,-0.18890868226395535,0,0,1,0,0,1,0,0,0
25.0,140232,1.1607754159095183,20000,1.0580427628761477,0,-0.8449546042980887,-0.9389818135065024,1.780806986604271,1.3517225058688216,1.5244835517227195,1,0,0,0,0,1,0,0,0
24.0,140232,1.1607754159095183,9600,-1.2541998025631302,0,-1.2194502318120088,-0.9389818135065024,1.780806986604271,0.31971466447367414,-1.0456047992572928,0,0,0,0,1,0,0,0,0
25.0,140232,-0.721294989558621,25000,0.7686234377269514,0,-0.6577067905411286,-0.44624569742716774,1.780806986604271,1.6654857770230687,0.6677874347293821,0,0,0,1,0,0,1,0,0
25.0,12000,-1.2590293911209467,3000,0.7655114019726591,1,0.7466518126360718,-0.6926137554668351,-2.8716274549993273,-1.3155486640921987,0.6677874347293821,0,0,1,0,0,0,1,0,0
22.0,56950,0.35417381356603,28000,-1.0985980148485086,1,2.993625577719593,-0.9389818135065024,0.07542196725523856,1.8248389271323988,-1.0456047992572928,0,0,0,1,0,0,1,0,0
21.0,12000,0.35417381356603,3000,0.8059678667784604,1,0.7466518126360718,-0.6926137554668351,-2.8716274549993273,-1.3155486640921987,0.6677874347293821,1,0,1,0,1,0,0,0,0
23.0,65000,-0.721294989558621,28000,-0.9710045489225188,1,2.431882136448712,-0.9389818135065024,0.32563595920471894,1.8248389271323988,-1.0456047992572928,0,0,0,1,1,0,0,0,0
26.0,85000,-0.721294989558621,28000,-1.0985980148485086,1,1.4956430676639123,-0.6926137554668351,0.8333266311542906,1.8248389271323988,-1.0456047992572928,0,0,0,1,0,0,0,0,1
26.0,12000,-0.721294989558621,6100,-1.0923739433399238,1,3.180873391476553,-0.6926137554668351,-2.8716274549993273,-0.3178624133675696,-1.0456047992572928,0,0,1,0,1,0,0,0,0
22.0,88000,0.35417381356603,28000,-0.34548536230973975,1,1.4020191607854322,-0.6926137554668351,0.8989693156823378,1.8248389271323988,-0.18890868226395535,0,0,0,1,0,0,0,0,1
21.0,12000,-1.2590293911209467,4200,0.7655114019726591,1,1.682890881420872,-0.44624569742716774,-2.8716274549993273,-0.8425460380890429,0.6677874347293821,1,0,1,0,0,0,0,1,0
22.0,12000,0.35417381356603,4750,-1.207519266248744,1,2.1510104158132726,-0.9389818135065024,-2.8716274549993273,-0.6695416253887867,-1.0456047992572928,0,0,1,0,0,0,0,0,0
24.0,83004,-1.2590293911209467,28000,1.5466323763000598,1,1.5892669745423924,-0.44624569742716774,0.7883560142727442,1.8248389271323988,1.5244835517227195,1,0,0,1,0,0,0,0,1
24.0,140232,-0.721294989558621,18000,0.6099096142580374,0,-0.9385785111765687,-0.6926137554668351,1.780806986604271,1.2035757267553766,0.6677874347293821,1,0,0,1,1,0,0,0,0
40.5,140232,-0.18356058799629554,4800,0.793519723761291,0,-1.406698045568969,-0.6926137554668351,1.780806986604271,-0.6548203011399071,0.6677874347293821,0,0,0,1,0,0,0,0,1
25.0,100000,0.08530661278486722,28000,0.5196605773835565,0,1.0275235332715122,-0.6926137554668351,1.1408951684328574,1.8248389271323988,-0.18890868226395535,0,0,0,1,0,0,0,0,0
26.0,110000,1.429642616690681,28000,-0.6598009734932755,0,0.7466518126360718,-0.9389818135065024,1.321270779951519,1.8248389271323988,-1.0456047992572928,0,0,0,1,1,0,0,0,0
26.0,12000,-1.2590293911209467,2700,-1.0985980148485086,1,0.5594039988791119,-0.44624569742716774,-2.8716274549993273,-1.463651192858064,-1.0456047992572928,0,0,1,0,0,0,0,0,0
22.0,108000,0.35417381356603,28000,-0.009385500846156906,1,0.8402757195145519,-0.44624569742716774,1.2865448113541813,1.8248389271323988,-0.18890868226395535,0,0,0,1,1,0,0,0,0
23.0,140232,0.6230410143471927,28000,0.027958928205352052,0,0.18490837136519167,-0.9389818135065024,1.780806986604271,1.8248389271323988,-0.18890868226395535,0,0,0,1,0,0,0,0,0
24.0,69000,-0.721294989558621,27600,-1.0985980148485086,1,2.1510104158132726,-0.9389818135065024,0.4386546879119503,1.804606672065649,-1.0456047992572928,0,0,0,1,0,1,0,0,0
21.0,12000,0.08530661278486722,3250,1.4501592679169941,1,0.933899626393032,-0.6926137554668351,-2.8716274549993273,-1.2030312100433733,2.381179668716057,1,0,0,0,0,0,0,0,0
22.0,70000,-0.18356058799629554,27500,0.6348059002923769,1,2.0573865089347922,-0.6926137554668351,0.4658854069483169,1.7995027934667427,0.6677874347293821,1,0,0,1,1,0,0,0,0
22.0,140232,0.35417381356603,25000,-0.009385500846156906,0,-0.6577067905411286,-0.9389818135065024,1.780806986604271,1.6654857770230687,-0.18890868226395535,0,0,1,0,0,0,0,1,0
26.0,73200,0.08530661278486722,27050,1.4314870533912394,1,1.8701386951778323,-0.9389818135065024,0.5504806346847964,1.7763032783144024,1.5244835517227195,1,0,0,1,0,0,0,0,1
24.0,83000,0.08530661278486722,27000,0.7686234377269514,1,1.4956430676639123,-0.9389818135065024,0.7882648113256999,1.773701767824322,0.6677874347293821,1,0,0,1,0,0,0,1,0
24.0,73399,-1.2590293911209467,27000,1.3350139450081744,1,1.8701386951778323,-0.6926137554668351,0.5556185752495736,1.773701767824322,1.5244835517227195,0,0,0,1,0,0,0,0,1
23.0,62500,0.6230410143471927,26000,0.2146810734628985,1,2.3382582295702323,-0.9389818135065024,0.25141076508677834,1.720634527468237,-0.18890868226395535,0,0,0,1,0,0,1,0,0
23.0,120000,-0.9901621903397838,25600,0.5196605773835565,0,0.37215618512215165,-0.6926137554668351,1.4859409486316317,1.698833880755539,-0.18890868226395535,0,0,0,1,1,0,0,0,0
24.0,12360,-0.721294989558621,1600,0.793519723761291,0,-0.3768350699056885,-0.6926137554668351,-2.8156911413463765,-2.199068140383781,0.6677874347293821,0,0,1,0,0,0,1,0,0
22.0,60000,-1.2590293911209467,25475,-0.009385500846156906,1,2.3382582295702323,-0.6926137554668351,0.17415519570960192,1.6919512777429173,-0.18890868226395535,0,0,0,1,0,0,0,0,1
25.0,140232,-0.4524277887774583,20000,1.011362226561761,0,-0.7513306974196088,-0.44624569742716774,1.780806986604271,1.3517225058688216,0.6677874347293821,1,0,0,0,0,0,1,0,0
24.0,140232,0.8919082151283555,20000,-0.6660250450018602,0,-0.7513306974196088,-0.44624569742716774,1.780806986604271,1.3517225058688216,-0.18890868226395535,0,0,1,0,0,1,0,0,0
26.0,140232,1.429642616690681,21600,0.36094675391464254,0,-0.7513306974196088,-0.6926137554668351,1.780806986604271,1.459937455154379,-0.18890868226395535,0,0,0,0,0,1,0,0,0
25.0,140232,0.35417381356603,11900,1.0580427628761477,1,-1.1258263249335287,-0.6926137554668351,1.780806986604271,0.6216965235703937,1.5244835517227195,1,0,0,0,0,0,0,0,0
26.0,140232,-1.2590293911209467,25000,0.9802418690188368,0,-0.5640828836626486,-0.9389818135065024,1.780806986604271,1.6654857770230687,0.6677874347293821,1,0,0,0,0,0,1,0,0
25.0,140232,0.08530661278486722,35000,0.9242252254415732,0,-0.18958725614872854,-0.44624569742716774,1.780806986604271,2.1386062155997307,0.6677874347293821,0,0,0,0,0,0,1,0,0
23.0,83000,0.6230410143471927,25300,-0.009385500846156906,1,1.214771347028472,-0.6926137554668351,0.7882648113256999,1.6822586853135812,-0.18890868226395535,0,0,0,1,1,0,0,0,0
22.0,12600,-0.18356058799629554,2000,-1.7427894159870425,1,-0.09596334927024842,-0.44624569742716774,-2.7792981368388388,-1.8854664803725378,-1.0456047992572928,0,0,0,0,0,0,0,1,0
25.0,12600,-0.4524277887774583,1750,0.8059678667784604,0,-0.2832111630272084,-0.6926137554668351,-2.7792981368388388,-2.073133671425413,0.6677874347293821,0,0,1,0,0,0,0,1,0
21.0,42500,-0.4524277887774583,25000,0.5321087204007265,1,3.929864646504393,-0.6926137554668351,-0.4784526279895497,1.6654857770230687,0.6677874347293821,1,0,0,1,1,0,0,0,0
24.0,41000,-0.721294989558621,25000,1.3350139450081744,1,4.117112460261353,-0.6926137554668351,-0.5464533882381561,1.6654857770230687,1.5244835517227195,0,0,0,1,0,1,0,0,0
25.0,12816,-1.2590293911209467,3000,0.5756772209608203,1,0.5594039988791119,-0.44624569742716774,-2.747132252505798,-1.3155486640921987,0.6677874347293821,1,0,1,0,0,0,0,0,0
24.0,12960,-0.9901621903397838,3650,-0.34548536230973975,1,1.0275235332715122,-0.6926137554668351,-2.7259880915615597,-1.039861633233597,-0.18890868226395535,0,0,0,0,0,1,0,0,0
26.0,140232,-0.18356058799629554,20000,0.14621628686846477,0,-0.7513306974196088,-0.44624569742716774,1.780806986604271,1.3517225058688216,-0.18890868226395535,0,0,0,0,0,1,0,0,0
25.0,140232,-1.2590293911209467,30000,2.7665503919826935,0,-0.3768350699056885,-0.9389818135065024,1.780806986604271,1.9218511507236298,2.381179668716057,1,0,0,0,0,1,0,0,0
26.0,140232,0.35417381356603,35000,-0.1151947164920996,1,-0.09596334927024842,-0.9389818135065024,1.780806986604271,2.1386062155997307,-0.18890868226395535,0,0,0,0,1,0,0,0,0
24.0,140232,-1.2590293911209467,6000,-0.009385500846156906,0,-1.313074138690489,-0.44624569742716774,1.780806986604271,-0.34110154828967143,-0.18890868226395535,0,0,0,1,0,0,1,0,0
24.0,12960,-1.2590293911209467,4500,0.2520255025144075,1,1.682890881420872,-0.44624569742716774,-2.7259880915615597,-0.7455527815860027,-0.18890868226395535,0,0,0,0,0,0,0,0,0
23.0,12996,-1.2590293911209467,2400,0.7686234377269514,1,0.09128446448671156,-0.9389818135065024,-2.720738757438029,-1.6292088595496501,0.6677874347293821,1,0,1,0,0,0,0,0,0
22.0,42000,0.35417381356603,25000,1.110947370699119,1,4.023488553382873,-0.9389818135065024,-0.5008491587227317,1.6654857770230687,1.5244835517227195,1,0,0,1,0,0,1,0,0
26.0,48000,-0.721294989558621,25000,-0.4295103276756353,1,3.274497298355033,-0.44624569742716774,-0.24814268432716644,1.6654857770230687,-0.18890868226395535,0,0,0,1,1,0,0,0,0
25.0,12996,-0.9901621903397838,3600,1.110947370699119,1,1.0275235332715122,-0.6926137554668351,-2.720738757438029,-1.0592520128660359,1.5244835517227195,0,0,1,0,0,0,1,0,0
22.0,12996,-0.9901621903397838,4750,-0.009385500846156906,1,1.8701386951778323,-0.6926137554668351,-2.720738757438029,-0.6695416253887867,-0.18890868226395535,0,0,1,0,1,0,0,0,0
25.0,42360,-0.9901621903397838,25000,1.6586656634545878,1,3.929864646504393,-0.6926137554668351,-0.4846969865432713,1.6654857770230687,2.381179668716057,1,0,0,1,1,0,0,0,0
21.0,49000,-0.18356058799629554,25000,-0.009385500846156906,1,3.180873391476553,-0.9389818135065024,-0.2091208785640405,1.6654857770230687,-0.18890868226395535,0,0,0,1,1,0,0,0,0
25.0,140232,-1.2590293911209467,25000,2.3806579584504326,0,-0.5640828836626486,-0.9389818135065024,1.780806986604271,1.6654857770230687,3.2378757857093943,0,0,0,0,0,0,0,0,1
26.0,140232,-0.9901621903397838,3000,-0.5290954718129932,0,-1.500321952447449,-0.44624569742716774,1.780806986604271,-1.3155486640921987,-1.0456047992572928,0,0,0,1,1,0,0,0,0
23.0,140232,0.8919082151283555,7500,-0.743825938859171,0,-1.313074138690489,-0.9389818135065024,1.780806986604271,-0.027371081326199486,-1.0456047992572928,0,0,0,1,0,0,0,0,0
26.0,140232,-0.721294989558621,25000,-0.2925807544867684,0,-0.5640828836626486,-0.9389818135065024,1.780806986604271,1.6654857770230687,-0.18890868226395535,0,0,0,0,0,0,0,0,1
22.0,49464,0.08530661278486722,25000,0.2520255025144075,1,3.180873391476553,-0.6926137554668351,-0.1912844637095536,1.6654857770230687,-0.18890868226395535,0,0,0,1,0,0,0,1,0
23.0,50000,-0.9901621903397838,25000,-0.9710045489225188,1,3.0872494845980727,-0.6926137554668351,-0.17088743035998982,1.6654857770230687,-1.0456047992572928,0,0,0,1,0,0,0,0,0
25.0,50000,-0.18356058799629554,25000,-1.5654033779923735,1,3.0872494845980727,-0.9389818135065024,-0.17088743035998982,1.6654857770230687,-1.0456047992572928,0,0,0,1,0,1,0,0,0
24.0,44000,-0.721294989558621,25000,1.3412380165167592,1,3.7426168327474323,-0.9389818135065024,-0.41281070247109014,1.6654857770230687,1.5244835517227195,0,0,0,1,0,0,0,0,0
23.0,50000,-0.9901621903397838,25000,0.2520255025144075,1,3.0872494845980727,-0.44624569742716774,-0.17088743035998982,1.6654857770230687,-0.18890868226395535,0,0,0,1,0,0,0,0,1
22.0,50004,-1.2590293911209467,25000,-0.20544375336658047,1,3.0872494845980727,-0.9389818135065024,-0.1707360370792643,1.6654857770230687,-0.18890868226395535,0,0,0,1,0,0,0,0,1
22.0,50004,-0.4524277887774583,25000,0.3765069326861049,1,3.0872494845980727,-0.6926137554668351,-0.1707360370792643,1.6654857770230687,0.6677874347293821,0,0,0,1,0,0,0,0,1
22.0,52000,-0.721294989558621,25000,0.027958928205352052,1,2.9000016708411125,-0.44624569742716774,-0.09666252739016117,1.6654857770230687,-0.18890868226395535,0,0,0,1,1,0,0,0,0
23.0,13200,-0.4524277887774583,4950,-0.9710045489225188,1,1.9637626020563124,-0.44624569742716774,-2.691264459220394,-0.6115590534099903,-1.0456047992572928,0,0,1,0,0,0,0,0,0
24.0,140232,-0.9901621903397838,25000,0.17422460865709663,0,-0.5640828836626486,-0.9389818135065024,1.780806986604271,1.6654857770230687,-0.18890868226395535,0,0,0,0,1,0,0,0,0
23.0,140232,0.08530661278486722,21000,-0.6598009734932755,0,-0.6577067905411286,-0.6926137554668351,1.780806986604271,1.4203263279743599,-1.0456047992572928,0,0,0,0,0,0,0,0,0
25.0,140232,-0.721294989558621,25000,1.5715286623343994,0,-0.47045897678416865,-0.6926137554668351,1.780806986604271,1.6654857770230687,1.5244835517227195,0,0,0,0,1,0,0,0,0
26.0,140232,1.429642616690681,20000,0.9958020477902992,0,-0.7513306974196088,-0.9389818135065024,1.780806986604271,1.3517225058688216,0.6677874347293821,1,0,0,0,1,0,0,0,0
23.0,140232,0.6230410143471927,35000,1.1731880857849675,0,-0.09596334927024842,-0.6926137554668351,1.780806986604271,2.1386062155997307,0.6677874347293821,1,0,0,0,0,0,1,0,0
26.0,140232,1.6985098174718438,12000,-0.9772286204311038,0,-1.0322024180550489,-0.9389818135065024,1.780806986604271,0.6334627042541408,-1.0456047992572928,0,0,0,0,1,0,0,0,0
23.0,52000,-0.9901621903397838,25000,0.6845984723610559,1,2.9000016708411125,-0.9389818135065024,-0.09666252739016117,1.6654857770230687,0.6677874347293821,0,0,0,1,0,0,0,1,0
